,Position,Age,Name,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won,Market value
1563,Attacking Midfield,26,Dylan Bahamboula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€300Th. Last update: Apr 8, 2020"
1564,Centre-Back,26,Dylan Bronn,0.08,0.03,0.05,0.03,0.05,0.28,0.03,0.08,0.04,0.01,0.05,0.43,0.2,47.1%,0.12,0.25,18.2,0.03,0.09,0.0,0.01,39.9,47.37,84.2%,868.42,310.6,11.65,12.68,91.9%,20.48,21.8,93.9%,7.39,12.06,61.3%,0.2,2.78,0.18,0.05,2.46,44.79,2.58,2.21,0.08,4.34,1.25,0.18,0.0,0.0,0.0,0.0,35.84,3.13,8.4,4.01,40.8,1.75,0.35,0.05,0.15,0.7,0.9,1.0,0.65,0.55,0.0,0.03,0.05,0.0,0.03,0.05,0.03,0.0,0.0,0.03,0.0,0.0,1.9,1.28,1.18,0.7,0.03,0.7,1.28,54.9%,0.58,11.43,4.49,39.3%,6.39,4.66,0.38,1.55,0.55,0.03,1.68,3.58,3.76,0.1,56.42,5.46,29.52,29.25,2.18,0.5,53.88,0.43,0.53,81.0%,0.43,0.0,36.59,193.73,121.53,2.73,0.55,0.0,0.18,0.4,37.14,36.29,97.7%,0.1,0.03,1.08,0.38,0.08,0.0,0.03,0.0,8.12,1.4,1.23,53.3%,€6.00
1565,Attacking Midfield,24,Dylan Chambost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.80
1566,Left-Back,23,Dylan Lempereur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€125Th. Last update: Aug 11, 2021"
1567,Centre-Back,25,Dylan Mboumbouni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€250Th. Last update: Jun 25, 2021"
1568,Defensive Midfield,23,DÅ¾enis BurniÄ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€800Th. Last update: Jun 16, 2021"
1569,Centre-Back,19,Ebenezer Annan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€75Th. Last update: Jun 30, 2021"
1570,Defensive Midfield,26,Ebenezer Ofori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€400Th. Last update: Jun 9, 2021"
1571,Attacking Midfield,23,Eberechi Eze,0.13,0.18,0.13,0.0,0.0,0.13,0.0,0.07,0.07,0.11,0.18,1.21,0.45,37.0%,0.11,0.3,21.7,0.13,0.06,0.06,0.06,31.36,39.75,78.9%,516.89,148.5,16.78,18.89,88.8%,10.41,12.61,82.6%,3.14,6.42,49.0%,1.39,2.65,1.17,0.13,3.54,35.17,4.58,1.3,0.09,6.95,1.03,0.81,2.38,0.67,1.08,0.18,30.19,3.5,6.06,5.65,32.89,0.54,0.18,0.04,0.22,0.31,1.35,0.99,3.01,1.66,0.58,0.45,0.04,0.18,0.09,0.45,0.18,0.04,0.18,0.04,0.0,0.0,1.26,0.76,0.67,0.45,0.13,0.49,1.35,36.7%,0.85,12.07,3.32,27.5%,3.23,6.33,2.51,1.08,0.09,0.0,1.08,2.33,0.22,0.0,50.07,1.03,8.52,27.05,19.56,1.44,45.72,2.11,3.19,66.2%,2.24,0.09,38.94,243.31,121.0,5.65,1.88,0.63,1.53,1.57,44.69,35.0,78.3%,3.5,0.0,0.76,2.38,0.04,0.0,0.0,0.0,6.24,0.45,1.21,27.0%,€20.00
1572,Left Winger,21,Ebrima Colley,0.12,0.0,0.12,0.0,0.0,0.25,0.0,0.21,0.21,0.25,0.46,1.98,0.62,31.3%,0.06,0.2,17.4,0.0,0.11,-0.09,-0.09,23.12,32.51,71.1%,378.3,98.04,12.24,14.59,83.9%,8.53,11.74,72.6%,1.85,3.96,46.9%,1.24,1.48,1.48,0.37,2.84,31.03,1.48,0.37,0.37,7.17,0.99,1.98,0.62,0.25,0.25,0.0,22.01,4.95,5.56,4.45,25.22,1.61,0.37,0.49,0.25,0.87,1.61,1.24,2.6,1.85,0.12,0.25,0.12,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.62,0.25,0.74,0.25,0.25,1.24,20.0%,0.99,18.79,4.82,25.7%,4.08,7.79,6.92,1.24,0.0,0.0,0.49,1.73,0.25,0.0,48.71,0.62,5.32,24.6,23.86,2.47,47.72,1.85,3.46,53.6%,2.35,0.25,37.21,221.29,111.26,5.93,2.84,0.62,3.21,3.34,51.18,36.1,70.5%,6.3,0.0,2.1,3.21,0.37,0.0,0.0,0.0,7.54,0.74,2.6,22.2%,€4.00
1573,Defensive Midfield,20,Ebrima Darboe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€2.00
1574,Right Winger,23,Echu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€100Th. Last update: Jun 30, 2021"
1575,Centre-Forward,22,Eddie Nketiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€12.00
1576,Central Midfield,28,Eddy GnahorÃ©,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.00
1577,Centre-Forward,20,Eddy Salcedo,0.17,0.0,0.17,0.0,0.0,0.26,0.0,0.33,0.33,0.05,0.38,2.44,0.87,35.7%,0.07,0.2,12.7,0.09,0.14,-0.16,-0.16,22.0,31.86,69.0%,343.33,101.17,12.22,16.85,72.5%,6.72,9.08,74.0%,2.18,3.49,62.5%,0.87,1.83,0.79,0.26,3.06,30.2,1.66,0.09,0.09,8.73,0.26,1.05,0.52,0.17,0.26,0.0,19.55,7.07,5.24,3.06,22.17,2.36,0.96,0.96,0.09,0.79,1.13,0.87,2.36,1.57,0.09,0.17,0.26,0.17,0.09,0.26,0.17,0.0,0.0,0.0,0.09,0.0,0.44,0.17,0.17,0.09,0.17,0.17,0.17,100.0%,0.0,10.56,3.58,33.9%,1.83,4.63,4.1,1.05,0.17,0.0,0.52,0.96,0.96,0.0,43.82,0.96,4.98,20.86,21.13,4.28,42.16,0.96,1.92,50.0%,1.22,0.0,29.16,125.62,63.46,3.4,1.66,0.52,1.66,2.53,49.67,32.04,64.5%,5.67,0.0,1.66,1.66,0.44,0.09,0.0,0.0,6.29,3.23,5.76,35.9%,€8.50
1578,Right Winger,22,Eddy Sylvestre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€200Th. Last update: Jun 7, 2021"
1579,Left Winger,30,Eden Hazard,0.2,0.29,0.2,0.0,0.0,0.1,0.0,0.19,0.19,0.17,0.35,1.76,1.07,61.1%,0.11,0.18,14.7,0.0,0.11,0.01,0.01,47.44,53.39,88.8%,692.18,124.95,29.58,32.7,90.4%,14.06,15.13,92.9%,2.54,3.03,83.9%,2.25,2.15,1.56,0.0,3.42,51.64,1.76,0.39,0.2,10.54,0.59,1.17,0.78,0.0,0.1,0.1,44.9,5.17,3.32,7.81,42.75,0.98,0.29,1.17,0.29,0.0,1.17,0.49,4.3,3.12,0.1,0.39,0.2,0.49,0.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.78,0.49,0.29,0.49,0.0,0.39,1.17,33.3%,0.78,9.86,2.54,25.7%,1.85,4.39,3.61,0.68,0.2,0.0,0.78,1.56,0.2,0.0,64.52,0.39,5.86,27.82,35.43,5.86,63.06,2.44,3.22,75.8%,2.54,0.1,53.39,322.61,176.68,9.18,2.34,1.27,1.66,1.76,66.57,56.13,84.3%,11.42,0.0,0.68,3.12,0.1,0.0,0.0,0.0,3.9,0.49,0.49,50.0%,€25.00
1580,Defensive Midfield,24,Eden Massouema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€300Th. Last update: Jun 25, 2021"
1581,Second Striker,35,Ãder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€800Th. Last update: May 28, 2021"
1582,Centre-Back,23,Ãder MilitÃ£o,0.03,0.06,0.03,0.0,0.0,0.11,0.03,0.09,0.09,0.03,0.11,0.8,0.25,31.0%,0.03,0.11,13.3,0.0,0.11,-0.06,-0.06,52.22,58.08,89.9%,1135.08,307.75,15.22,16.23,93.7%,26.22,27.57,95.1%,10.1,13.15,76.8%,0.22,2.92,0.14,0.08,1.79,55.06,3.03,1.43,0.03,5.48,2.23,0.3,0.0,0.0,0.0,0.0,46.11,4.59,7.37,4.68,49.58,1.9,0.83,0.19,0.19,1.13,0.66,0.88,0.58,0.5,0.0,0.0,0.03,0.03,0.03,0.17,0.14,0.0,0.0,0.03,0.0,0.0,2.01,1.16,1.35,0.5,0.17,0.83,1.71,48.4%,0.88,8.94,3.25,36.3%,5.26,3.0,0.69,1.65,0.77,0.0,2.06,4.07,4.71,0.03,69.8,12.13,38.77,31.37,3.58,0.96,67.03,0.33,0.61,54.5%,0.39,0.0,44.9,234.15,108.02,1.62,0.44,0.0,0.41,0.3,49.14,47.96,97.6%,0.22,0.0,0.96,1.13,0.0,0.0,0.03,0.0,7.1,2.61,0.91,74.2%,€40.00
1583,Goalkeeper,28,Ederson,,,,,0.1,,,,,,,,,,,,,,,,,,25.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€50.00
1584,Goalkeeper,29,Ãdgar BadÃ­a,,,,,0.42,,,,,,,,,,,,,,,,,,26.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.50
1585,Central Midfield,37,Ãdgar Barreto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€250Th. Last update: Mar 16, 2021"
1586,Defensive Midfield,24,Ãdgar GonzÃ¡lez,0.0,0.07,0.0,0.0,0.0,0.34,0.0,0.06,0.06,0.0,0.06,0.34,0.14,40.0%,0.0,0.0,7.0,0.0,0.16,-0.06,-0.06,50.64,54.63,92.7%,1044.15,326.56,17.06,17.55,97.3%,24.84,25.8,96.3%,8.33,10.6,78.6%,0.0,1.51,0.0,0.0,1.45,53.6,1.03,0.83,0.0,4.13,0.96,0.0,0.0,0.0,0.0,0.0,46.65,3.03,4.95,12.87,38.95,1.93,0.21,0.07,0.21,0.41,0.69,0.69,0.41,0.34,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.0,1.38,1.03,0.96,0.21,0.21,0.76,1.45,52.4%,0.69,7.57,2.61,34.5%,4.2,2.75,0.62,1.17,0.48,0.07,1.79,3.17,5.3,0.0,64.2,10.32,35.37,31.17,1.17,0.55,63.23,0.41,0.48,85.7%,0.41,0.0,43.21,210.34,123.03,1.79,0.14,0.0,0.07,0.14,47.27,46.38,98.1%,0.07,0.0,1.1,0.55,0.0,0.0,0.0,0.0,6.26,2.06,1.79,53.6%,€5.00
1587,Centre-Back,27,Edgar IÃ©,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€5.50
1588,Right Winger,31,Ãdgar MÃ©ndez,0.19,0.0,0.19,0.0,0.0,0.42,0.0,0.22,0.22,0.07,0.28,1.58,0.47,29.4%,0.12,0.4,15.2,0.0,0.14,-0.03,-0.03,12.47,20.74,60.1%,213.77,68.88,6.42,8.93,71.9%,4.23,6.74,62.8%,1.4,3.49,40.0%,0.88,0.51,0.79,0.42,1.44,20.05,0.7,0.14,0.0,5.35,0.84,2.14,0.05,0.0,0.0,0.0,10.42,4.09,6.23,3.72,12.93,1.77,0.28,0.23,0.14,0.65,1.07,0.88,1.67,1.26,0.0,0.14,0.05,0.14,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.88,0.56,0.79,0.37,0.47,1.95,23.8%,1.49,18.14,3.95,21.8%,4.37,8.14,5.63,0.98,0.09,0.0,0.7,2.42,0.93,0.0,33.35,1.07,5.86,15.26,14.47,2.84,32.74,1.16,2.33,50.0%,1.49,0.0,21.44,104.47,54.42,2.79,0.65,0.56,2.7,1.35,36.0,21.67,60.2%,4.37,0.0,2.7,2.51,0.47,0.0,0.0,0.0,6.0,2.51,2.84,47.0%,€1.50
1589,Central Midfield,31,Edgar Prib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€400Th. Last update: Jun 16, 2021"
1590,Right Winger,29,Edgar Salli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€400Th. Last update: May 14, 2021"
1591,Right Winger,20,Edgar Sevikyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€700Th. Last update: Jun 30, 2021"
1592,Centre-Forward,23,Edgaras Dubickas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€75Th. Last update: Jun 21, 2021"
1593,Central Midfield,25,Edimilson Fernandes,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.11,0.2,1.42,0.59,41.7%,0.0,0.0,27.4,0.0,0.07,-0.09,-0.09,29.96,39.63,75.6%,586.83,218.22,12.86,14.74,87.2%,12.5,15.1,82.8%,4.13,7.9,52.2%,1.42,2.01,1.3,0.47,3.77,36.09,3.54,0.71,0.0,5.9,2.24,2.12,0.83,0.12,0.47,0.0,25.48,4.95,9.2,4.36,31.61,0.94,2.01,0.12,0.0,0.83,1.42,1.3,2.24,1.77,0.24,0.12,0.12,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.94,0.71,0.35,0.47,0.12,0.24,0.83,28.6%,0.59,14.63,4.84,33.1%,4.84,6.37,3.42,2.01,0.71,0.12,2.36,3.3,2.24,0.0,50.6,3.54,12.39,24.77,16.99,1.53,47.18,0.83,1.3,63.6%,0.83,0.12,33.5,157.35,77.38,2.36,1.18,0.12,0.59,1.89,35.15,30.79,87.6%,2.01,0.0,0.83,0.71,0.12,0.0,0.0,0.0,8.26,0.83,0.71,53.8%,€3.50
1594,Centre-Forward,35,Edin DÅ¾eko,0.57,0.14,0.57,0.0,0.03,0.11,0.0,0.59,0.57,0.16,0.73,3.25,1.47,45.2%,0.17,0.38,11.8,0.0,0.18,-0.03,0.0,19.24,27.54,69.8%,327.6,70.51,10.25,13.62,75.3%,5.79,8.25,70.2%,2.37,3.42,69.4%,1.5,1.05,1.05,0.08,2.23,25.54,2.01,0.06,0.08,8.45,0.88,1.02,0.0,0.0,0.0,0.0,16.1,6.21,5.23,5.17,17.49,1.24,0.14,0.73,0.17,0.57,1.36,0.51,2.8,2.15,0.0,0.14,0.28,0.17,0.06,0.42,0.23,0.0,0.06,0.06,0.06,0.03,0.51,0.37,0.14,0.2,0.17,0.23,0.51,44.4%,0.28,10.85,2.99,27.6%,0.93,4.58,5.34,0.82,0.31,0.0,0.28,0.79,0.73,0.0,40.37,1.05,3.14,19.77,19.69,6.64,38.42,1.02,2.12,48.0%,1.16,0.14,24.92,116.47,61.27,3.31,1.27,0.73,2.82,1.64,50.4,31.61,62.7%,9.41,0.0,1.1,1.98,0.45,0.06,0.0,0.0,3.79,4.07,2.43,62.6%,€4.00
1595,Centre-Forward,34,Edinson Cavani,0.68,0.2,0.68,0.0,0.0,0.29,0.0,0.57,0.57,0.14,0.71,2.39,1.12,46.9%,0.29,0.61,11.5,0.0,0.24,0.11,0.11,18.27,22.87,79.9%,303.66,40.65,9.58,11.43,83.8%,5.72,6.65,86.0%,2.05,2.79,73.7%,0.98,1.07,0.68,0.0,1.27,22.23,0.64,0.0,0.2,3.76,0.78,0.24,0.0,0.0,0.0,0.0,16.76,2.98,3.13,3.71,17.93,0.59,0.15,0.39,0.05,0.59,1.07,0.59,2.1,1.42,0.0,0.15,0.24,0.15,0.15,0.39,0.29,0.0,0.0,0.05,0.05,0.0,1.17,0.88,0.05,0.73,0.39,0.29,0.73,40.0%,0.44,14.56,4.69,32.2%,1.22,4.93,8.4,0.59,0.0,0.0,0.78,1.95,0.59,0.0,32.05,0.78,3.42,13.24,16.17,5.18,31.42,0.49,0.98,50.0%,0.54,0.0,17.3,56.53,16.95,1.03,0.29,0.2,1.66,0.68,42.31,23.16,54.7%,6.55,0.0,1.42,0.98,0.44,0.05,0.0,0.0,4.25,0.54,1.42,27.5%,€6.00
1596,Centre-Forward,21,Edmilson Indjai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597,Centre-Back,22,Edmond Tapsoba,0.06,0.0,0.06,0.0,0.0,0.18,0.0,0.03,0.03,0.01,0.05,0.52,0.15,29.4%,0.12,0.4,13.1,0.0,0.07,0.03,0.03,75.82,83.9,90.4%,1748.55,508.34,17.15,18.24,94.0%,40.98,43.32,94.6%,17.18,21.22,81.0%,0.12,4.13,0.24,0.0,4.28,81.32,2.58,1.76,0.06,8.2,3.28,0.09,0.0,0.0,0.0,0.0,69.33,6.47,8.1,11.17,69.91,1.64,0.24,0.03,0.09,0.7,1.21,1.18,0.82,0.79,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,1.24,1.64,0.67,0.06,0.94,1.94,48.4%,1.0,12.51,4.4,35.2%,6.98,4.7,0.82,2.16,0.97,0.03,2.03,4.4,4.52,0.09,95.59,11.08,49.96,49.63,4.34,0.79,93.07,0.55,0.7,78.3%,0.55,0.0,70.03,406.11,229.81,4.58,1.12,0.03,0.36,0.36,70.63,69.36,98.2%,0.33,0.0,1.34,0.33,0.18,0.0,0.03,0.03,11.6,2.19,1.37,61.5%,€40.00
1598,Central Midfield,20,Edmond-Paris Maghoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€200Th. Last update: Mar 10, 2021"
1599,Central Midfield,19,Edoardo Bove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€300Th. Last update: Jun 30, 2021"
1600,Goalkeeper,20,Edoardo Corvi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€25Th. Last update: Jun 22, 2021"
1601,Centre-Back,28,Edoardo Goldaniga,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.03,0.03,0.02,0.05,0.45,0.0,0.0%,0.0,,10.0,0.0,0.07,-0.03,-0.03,27.39,39.7,69.0%,522.91,247.09,11.72,13.28,88.2%,12.39,17.39,71.2%,2.99,7.69,38.8%,0.3,2.76,0.37,0.3,3.06,33.21,6.49,0.97,0.07,4.55,0.67,1.49,0.0,0.0,0.0,0.0,21.04,5.82,12.84,3.51,27.84,2.01,5.52,0.22,0.07,0.82,0.97,0.75,0.52,0.52,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,1.49,0.67,0.97,0.45,0.07,0.75,1.19,62.5%,0.45,10.45,2.61,25.0%,5.52,4.1,0.82,1.19,0.45,0.0,1.49,2.99,4.4,0.0,49.85,4.78,20.3,23.66,9.4,1.04,43.51,0.3,0.67,44.4%,0.37,0.07,26.04,146.34,69.78,2.99,1.04,0.07,0.52,0.37,32.31,28.73,88.9%,1.34,0.0,1.72,0.75,0.07,0.0,0.0,0.0,5.37,1.49,1.94,43.5%,€2.00
1602,Goalkeeper,18,Edoardo Piana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,Centre-Forward,20,Edoardo Vergani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€600Th. Last update: Jun 3, 2021"
1604,Goalkeeper,29,Edouard Mendy,,,,,0.12,,,,,,,,,,,,,,,,,,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€30.00
1605,Attacking Midfield,18,Edouard Michut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€500Th. Last update: Jun 4, 2021"
